# #---------------------------------------------------------------------
# #-t RELATIVISTIC ELLIPTICAL DISK MODEL                                
# #---------------------------------------------------------------------
# # Wavelength scale (6 pars)                                           
# #---------------------------------------------------------------------
# 4861	OLAMBDA       nominal wavelength of the line (Angstrom)          
# 4665	WAVEMIN       minimum wavelength (Angstrom)                      
# 5110	WAVEMAX       maximum wavelength (Angstrom)                      
# s	WAVESCALE     wavelength scale format                               
# #                     ^(s=step, d=dat file, 2=2cu file, 3=3cu file)   
# 2	WAVESTEP      size of wavelength step (Angstrom)                    
# #                     ^[used if not reading from file]                
# '/users/mce/spec/test.2ca'	WAVEFILE                                   
# # ^ file with wavelength scale (in single quotes or "none")           
# #   [if using path, write it all out, do not use environment variables
# #---------------------------------------------------------------------
# # Integration, units, normalization (4 pars)                          
# #---------------------------------------------------------------------
# 100	NSTEP         integration steps (integer, </= 400)                
# max	NORMALIZATION profile normalization scheme (max/flux/none) [max]  
# flam	FLUXUNITS     flux density units (fnu/flam) [fnu]                
# ellmodel.dat	  OUTFILE                                                
# # ^ output file where final model is written (in single quotes)       
# #   [if using path, write it all out, do not use environment variables
# #---------------------------------------------------------------------
# # Elliptical disk size and emission properties (7 pars)               
# #---------------------------------------------------------------------
# 2.0	Q1            inner emissivity powerlaw index                     
# 1.2	Q2            outer emissivity powerlaw index                     
# 800	XIB	      power-law index break radius (XIB=0 causes Q=Q2 througho
# 19	ANGI          disk inclination angle (degrees)                     
# 120	XI1           inner disk radius (GM/c^2)                          
# 4500	XI2           outer disk radius (GM/c^2)                         
# 700	BROAD         broadening parameter (km/s)                         
# #---------------------------------------------------------------------
# # Elliptical disk eccentricity and orientation (3 pars)               
# #---------------------------------------------------------------------
# 0.21	ELL		eccentricity (< 1), outer eccentricity if varying smoothly  
# n	SMOOTH 		smoothly varying eccentricity (y/n)[n]                     
# 40	PHI0		major axis orientation (0-360 deg)                           
# #---------------------------------------------------------------------
#======================================================================
#-x Wavelength (\A)
#-y \(2156)\d\gl\u (normalized)      
#
# Wavelength (A)     f-lambda   
# --------------   --------------
     4665.00       1.28222854E-26
     4667.00       8.96084297E-26
     4669.00       6.04149667E-25
     4671.00       3.92797629E-24
     4673.00       2.46179775E-23
     4675.00       1.48818938E-22
     4677.00       8.67823029E-22
     4679.00       4.88219163E-21
     4681.00       2.64885786E-20
     4683.00       1.38679001E-19
     4685.00       7.00976322E-19
     4687.00       3.41826412E-18
     4689.00       1.60832482E-17
     4691.00       7.30836173E-17
     4693.00       3.20631828E-16
     4695.00       1.35773643E-15
     4697.00       5.55227048E-15
     4699.00       2.19291595E-14
     4701.00       8.36604820E-14
     4703.00       3.08330970E-13
     4705.00       1.09753244E-12
     4707.00       3.77637028E-12
     4709.00       1.25531139E-11
     4711.00       4.03448733E-11
     4713.00       1.25304669E-10
     4715.00       3.76259135E-10
     4717.00       1.09246889E-09
     4719.00       3.06673043E-09
     4721.00       8.32907610E-09
     4723.00       2.18834604E-08
     4725.00       5.56152635E-08
     4727.00       1.36812517E-07
     4729.00       3.25666889E-07
     4731.00       7.50457389E-07
     4733.00       1.67442965E-06
     4735.00       3.61813431E-06
     4737.00       7.57307998E-06
     4739.00       1.53578112E-05
     4741.00       3.01828586E-05
     4743.00       5.75013437E-05
     4745.00       1.06201493E-04
     4747.00       1.90280713E-04
     4749.00       3.30776587E-04
     4751.00       5.58007916E-04
     4753.00       9.14117030E-04
     4755.00       1.45438418E-03
     4757.00       2.24895263E-03
     4759.00       3.38076754E-03
     4761.00       4.94446605E-03
     4763.00       7.03820400E-03
     4765.00       9.75927338E-03
     4767.00       1.31894620E-02
     4769.00       1.73894837E-02
     4771.00       2.23881993E-02
     4773.00       2.81707905E-02
     4775.00       3.46848778E-02
     4777.00       4.18403335E-02
     4779.00       4.95108478E-02
     4781.00       5.75590879E-02
     4783.00       6.58470914E-02
     4785.00       7.42452368E-02
     4787.00       8.26613829E-02
     4789.00       9.10456553E-02
     4791.00       9.93908867E-02
     4793.00       1.07752815E-01
     4795.00       1.16231129E-01
     4797.00       1.24986559E-01
     4799.00       1.34220824E-01
     4801.00       1.44179776E-01
